ID,latitude,longitude,depth,X,Y,Z,EX,EY,EZ,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID,time_utc
129,15.222833,-95.237085,-31.489,-43612.2,-25171.1,2934.2,1042.0,1233.6,1646.0,2.64,0,0,19,12,-9.0,0.297,1,2017-09-09 14:30:31.240
130,15.194972,-95.349731,-30.176,-55711.4,-28254.0,1621.3,951.5,1313.4,1518.1,3.16,0,0,10,5,-9.0,0.316,1,2017-09-09 15:30:09.520
131,15.398469,-95.014714,-74.549,-19725.5,-5736.6,45994.3,1236.6,2279.0,3408.0,2.107,0,0,23,6,-9.0,0.441,1,2017-09-09 16:05:45.890
132,15.356316,-94.954647,-26.242,-13279.1,-10400.9,-2313.0,1049.8,1516.6,1262.0,2.449,0,0,98,62,-9.0,0.303,1,2017-09-09 16:17:33.430
133,15.545103,-95.093457,-40.899,-28167.3,10488.8,12344.6,874.8,863.8,5664.5,2.26,0,0,56,18,-9.0,0.29,1,2017-09-09 16:49:30.330
134,15.602033,-94.476034,-45.629,38075.7,16788.3,17074.0,674.4,674.6,2081.9,2.163,0,0,9,2,-9.0,0.157,1,2017-09-09 17:17:07.180
135,14.504704,-94.740999,-24.05,15.8,-929.0,210.4,1941.5,2025.4,1768.0,1.981,0,0,6,0,-9.0,0.33,27,2017-09-09 17:22:42.600
136,15.807031,-95.305013,-59.399,1166.9,1237.2,2398.5,11180.6,15378.6,26312.4,2.157,0,0,6,2,-9.0,0.644,28,2017-09-09 19:42:53.080
137,15.855343,-95.138241,-9.316,-32948.3,44817.5,-19238.6,982.4,1732.3,1125.4,2.27,0,0,24,3,-9.0,0.269,1,2017-09-09 20:15:44.120
138,15.234617,-94.893237,-28.066,-6689.6,-23867.1,-488.2,848.7,1109.1,1313.9,3.293,0,0,178,109,-9.0,0.342,1,2017-09-09 20:26:12.880
139,15.300892,-94.812467,-45.72,1982.9,-16533.7,17165.1,998.3,1393.0,2542.5,2.712,0,0,347,177,-9.0,0.31,1,2017-09-09 20:32:57.280
140,15.413579,-95.223592,-31.768,-42144.1,-4064.6,3213.3,1213.7,1435.8,1591.2,2.267,0,0,16,6,-9.0,0.314,1,2017-09-09 21:39:55.340
